Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,1568.900024,1604.300049,1566.000000,1599.699951,1599.699951,229
2012-01-04,1596.599976,1618.599976,1594.500000,1611.900024,1611.900024,172
2012-01-05,1610.800049,1624.099976,1597.800049,1619.400024,1619.400024,362
2012-01-06,1622.500000,1627.800049,1616.099976,1616.099976,1616.099976,20
2012-01-08,null,null,null,null,null,null
2012-01-09,1614.300049,1620.099976,1607.500000,1607.500000,1607.500000,8
2012-01-10,1619.900024,1638.000000,1619.900024,1631.000000,1631.000000,47
2012-01-11,1634.800049,1645.400024,1633.800049,1639.199951,1639.199951,65
2012-01-12,1645.199951,1656.099976,1645.199951,1647.300049,1647.300049,84
2012-01-13,1638.900024,1643.400024,1630.400024,1630.400024,1630.400024,368
2012-01-15,null,null,null,null,null,null
2012-01-17,1643.699951,1657.800049,1642.099976,1655.199951,1655.199951,16
2012-01-18,1654.000000,1660.300049,1654.000000,1659.500000,1659.500000,11
2012-01-19,1663.000000,1664.400024,1653.500000,1654.099976,1654.099976,58
2012-01-20,1652.800049,1664.300049,1652.800049,1663.699951,1663.699951,8
2012-01-22,null,null,null,null,null,null
2012-01-23,1676.900024,1680.000000,1669.900024,1678.000000,1678.000000,10
2012-01-24,1666.900024,1668.199951,1664.199951,1664.199951,1664.199951,5
2012-01-25,1673.000000,1706.199951,1672.000000,1699.800049,1699.800049,239
2012-01-26,1729.000000,1729.000000,1721.000000,1726.300049,1726.300049,16
2012-01-27,1727.000000,1734.099976,1727.000000,1731.800049,1731.800049,175023
2012-01-29,null,null,null,null,null,null
2012-01-30,1737.199951,1739.900024,1715.699951,1731.000000,1731.000000,53427
2012-01-31,1731.699951,1747.699951,1725.000000,1737.800049,1737.800049,7540
2012-02-01,1738.199951,1751.099976,1734.000000,1747.099976,1747.099976,2027
2012-02-02,1745.099976,1761.099976,1742.900024,1756.800049,1756.800049,2062
2012-02-03,1758.699951,1761.300049,1724.500000,1737.900024,1737.900024,543
2012-02-05,null,null,null,null,null,null
2012-02-06,1728.000000,1738.300049,1713.300049,1722.800049,1722.800049,726
2012-02-07,1722.000000,1748.000000,1713.199951,1746.400024,1746.400024,272
2012-02-08,1744.000000,1751.500000,1728.199951,1729.300049,1729.300049,955
2012-02-09,1731.400024,1749.699951,1726.099976,1739.000000,1739.000000,119
2012-02-10,1732.699951,1734.400024,1706.400024,1723.300049,1723.300049,248
2012-02-12,null,null,null,null,null,null
2012-02-13,1725.000000,1733.000000,1718.400024,1723.000000,1723.000000,104
2012-02-14,1720.000000,1724.900024,1715.000000,1715.900024,1715.900024,94
2012-02-15,1723.599976,1737.000000,1723.599976,1726.300049,1726.300049,110
2012-02-16,1718.400024,1728.400024,1707.000000,1726.800049,1726.800049,38
2012-02-17,1733.599976,1735.099976,1718.800049,1724.500000,1724.500000,80
2012-02-19,null,null,null,null,null,null
2012-02-21,1736.099976,1760.000000,1733.599976,1757.099976,1757.099976,115
2012-02-22,1758.699951,1781.900024,1750.000000,1770.000000,1770.000000,161
2012-02-23,1774.000000,1786.000000,1773.000000,1784.900024,1784.900024,298
2012-02-24,1778.500000,1780.699951,1771.300049,1775.099976,1775.099976,129
2012-02-26,null,null,null,null,null,null
2012-02-27,1773.599976,1775.599976,1768.099976,1773.599976,1773.599976,841
2012-02-28,1767.900024,1789.400024,1767.900024,1787.000000,1787.000000,306
2012-02-29,1789.900024,1790.400024,1669.000000,1709.900024,1709.900024,359
2012-03-01,1698.599976,1724.599976,1698.599976,1721.099976,1721.099976,214
2012-03-02,1723.000000,1723.000000,1705.199951,1708.800049,1708.800049,135
2012-03-04,null,null,null,null,null,null
2012-03-05,1705.500000,1709.500000,1695.400024,1703.000000,1703.000000,421
2012-03-06,1708.699951,1708.699951,1666.000000,1671.400024,1671.400024,176
2012-03-07,1676.000000,1684.000000,1673.099976,1683.300049,1683.300049,39
2012-03-08,1686.400024,1702.400024,1686.400024,1698.099976,1698.099976,301
2012-03-09,1698.800049,1710.900024,1680.699951,1710.900024,1710.900024,73
2012-03-11,null,null,null,null,null,null
2012-03-12,1708.099976,1708.099976,1694.900024,1699.199951,1699.199951,98
2012-03-13,1698.400024,1698.400024,1685.099976,1693.699951,1693.699951,47
2012-03-14,1676.900024,1681.000000,1637.400024,1642.500000,1642.500000,201
2012-03-15,1646.300049,1660.199951,1640.000000,1659.099976,1659.099976,405
2012-03-16,1660.000000,1661.400024,1641.300049,1655.500000,1655.500000,317
2012-03-18,null,null,null,null,null,null
2012-03-19,1661.199951,1668.000000,1652.099976,1666.900024,1666.900024,462
2012-03-20,1648.099976,1652.300049,1642.000000,1646.699951,1646.699951,250
2012-03-21,1657.800049,1660.000000,1646.099976,1650.000000,1650.000000,546
2012-03-22,1648.000000,1649.400024,1633.800049,1642.300049,1642.300049,321
2012-03-23,1652.500000,1665.099976,1646.300049,1662.300049,1662.300049,76
2012-03-25,null,null,null,null,null,null
2012-03-26,1665.000000,1692.900024,1657.800049,1685.500000,1685.500000,84
2012-03-27,1687.800049,1690.800049,1684.400024,1684.800049,1684.800049,100
2012-03-28,1670.099976,1670.099976,1657.900024,1657.900024,1657.900024,193107
2012-03-29,1661.800049,1664.500000,1644.300049,1652.199951,1652.199951,47342
2012-03-30,1660.599976,1670.000000,1659.000000,1669.300049,1669.300049,9825
2012-04-01,null,null,null,null,null,null
2012-04-02,1670.400024,1682.800049,1662.000000,1677.500000,1677.500000,2531
2012-04-03,1677.599976,1679.500000,1638.699951,1670.000000,1670.000000,1165
2012-04-04,1646.500000,1647.000000,1612.300049,1612.300049,1612.300049,1122
2012-04-05,1620.800049,1633.199951,1620.400024,1628.500000,1628.500000,289
2012-04-08,null,null,null,null,null,null
2012-04-09,1645.300049,1646.400024,1636.500000,1642.500000,1642.500000,158
2012-04-10,1649.000000,1661.699951,1636.199951,1659.500000,1659.500000,350
2012-04-11,1654.800049,1659.699951,1654.699951,1659.000000,1659.000000,426
2012-04-12,1660.000000,1680.099976,1650.000000,1679.500000,1679.500000,1309
2012-04-13,1673.300049,1674.800049,1650.000000,1659.099976,1659.099976,220
2012-04-15,null,null,null,null,null,null
2012-04-16,1650.800049,1656.800049,1641.199951,1648.699951,1648.699951,717
2012-04-17,1652.000000,1652.900024,1637.000000,1650.300049,1650.300049,69
2012-04-18,1653.199951,1653.300049,1638.099976,1638.800049,1638.800049,273
2012-04-19,1642.099976,1653.099976,1632.000000,1640.599976,1640.599976,77
2012-04-20,1641.699951,1645.599976,1640.900024,1642.099976,1642.099976,54
2012-04-22,null,null,null,null,null,null
2012-04-23,1642.400024,1642.400024,1625.099976,1631.900024,1631.900024,226
2012-04-24,1634.400024,1648.599976,1634.400024,1643.000000,1643.000000,123
2012-04-25,1641.300049,1643.800049,1626.900024,1641.400024,1641.400024,82
2012-04-26,1658.300049,1659.599976,1658.300049,1659.599976,1659.599976,280
2012-04-27,1654.500000,1666.900024,1654.000000,1664.000000,1664.000000,236
2012-04-29,null,null,null,null,null,null
2012-04-30,1663.000000,1665.699951,1653.000000,1663.400024,1663.400024,36
2012-05-01,1665.000000,1670.500000,1661.699951,1661.699951,1661.699951,25
2012-05-02,1659.199951,1659.199951,1648.300049,1653.400024,1653.400024,50
2012-05-03,1651.199951,1652.199951,1631.300049,1634.199951,1634.199951,78
2012-05-04,1635.699951,1645.599976,1629.400024,1644.699951,1644.699951,68
2012-05-06,null,null,null,null,null,null
2012-05-07,1637.900024,1640.000000,1632.599976,1638.599976,1638.599976,21
2012-05-08,1636.699951,1636.699951,1596.000000,1604.000000,1604.000000,154
2012-05-09,1595.300049,1595.300049,1586.300049,1593.699951,1593.699951,30
2012-05-10,1594.199951,1595.099976,1592.400024,1595.099976,1595.099976,6
2012-05-11,1586.099976,1589.599976,1583.599976,1583.599976,1583.599976,6
2012-05-13,null,null,null,null,null,null
2012-05-14,1563.000000,1563.099976,1555.500000,1560.599976,1560.599976,5
2012-05-15,1555.400024,1558.300049,1542.400024,1556.800049,1556.800049,28
2012-05-16,1541.400024,1541.400024,1528.500000,1536.199951,1536.199951,26
2012-05-17,1546.900024,1579.000000,1546.900024,1574.500000,1574.500000,51
2012-05-18,1573.699951,1591.599976,1568.199951,1591.599976,1591.599976,26
2012-05-20,null,null,null,null,null,null
2012-05-21,1591.900024,1594.099976,1588.400024,1588.400024,1588.400024,32
2012-05-22,1575.699951,1578.099976,1568.400024,1576.300049,1576.300049,27
2012-05-23,1538.199951,1548.099976,1534.400024,1548.099976,1548.099976,6
2012-05-24,1559.000000,1569.400024,1551.500000,1557.300049,1557.300049,23
2012-05-25,1558.199951,1568.800049,1557.300049,1568.800049,1568.800049,7
2012-05-27,null,null,null,null,null,null
2012-05-29,1574.699951,1582.500000,1548.599976,1548.599976,1548.599976,259050
2012-05-30,1553.900024,1569.000000,1530.400024,1563.400024,1563.400024,79887
2012-05-31,1562.699951,1572.599976,1551.800049,1562.599976,1562.599976,5901
2012-06-01,1560.000000,1630.000000,1545.500000,1620.500000,1620.500000,2820
2012-06-03,null,null,null,null,null,null
2012-06-04,1623.000000,1627.900024,1609.000000,1612.199951,1612.199951,2134
2012-06-05,1619.300049,1622.699951,1612.900024,1615.199951,1615.199951,604
2012-06-06,1619.699951,1639.699951,1616.500000,1632.800049,1632.800049,419
2012-06-07,1622.599976,1627.199951,1581.900024,1586.599976,1586.599976,1200
2012-06-08,1589.900024,1593.900024,1566.500000,1590.099976,1590.099976,157
2012-06-10,null,null,null,null,null,null
2012-06-11,1608.000000,1608.000000,1583.000000,1595.500000,1595.500000,129
2012-06-12,1594.099976,1612.800049,1588.500000,1612.699951,1612.699951,523
2012-06-13,1608.199951,1622.400024,1608.199951,1618.099976,1618.099976,655
2012-06-14,1621.199951,1626.400024,1610.099976,1618.400024,1618.400024,493
2012-06-15,1624.300049,1630.000000,1621.500000,1627.000000,1627.000000,1015
2012-06-17,null,null,null,null,null,null
2012-06-18,1622.599976,1627.599976,1615.000000,1625.699951,1625.699951,246
2012-06-19,1629.800049,1630.699951,1622.000000,1622.199951,1622.199951,32
2012-06-20,1618.300049,1618.300049,1601.300049,1614.800049,1614.800049,140
2012-06-21,1603.199951,1603.300049,1564.500000,1564.500000,1564.500000,29
2012-06-22,1565.500000,1568.400024,1560.000000,1566.000000,1566.000000,16
2012-06-24,null,null,null,null,null,null
2012-06-25,1574.900024,1587.500000,1571.000000,1587.500000,1587.500000,32
